#SOURCE	#TARGET	#INTENSITY	#CORR_COEFF
14	67	-55.0	-0.577770318690874
14	125	-1.0	-0.474995588592894
14	90	-26.0	-0.526613066905435
14	68	-105.0	-0.547229196066922
14	101	-3.0	-0.570189205170887
14	102	-1.0	-0.576335885898766
14	120	-4.0	-0.516577190247504
14	103	-12.0	-0.571003969706044
14	91	-3.0	-0.549460607616854
14	92	-15.0	-0.552033451135622
14	104	-2.0	-0.453740502821928
14	105	-4.0	-0.534038370116902
14	108	-1.0	-0.547247579489819
122	29	-3.0	-0.569887399033048
122	36	-1.0	-0.573575688804501
114	29	-2.0	-0.561831026142431
15	56	-3.0	-0.571756761424854
15	57	-22.0	-0.556876036202444
15	59	-14.0	-0.557817807641096
15	62	-17.0	-0.55480925291124
15	98	-1.0	-0.532835958203316
15	63	-3.0	-0.506637431592246
15	65	-34.0	-0.571376738595699
15	67	-5.0	-0.506935719004442
15	68	-11.0	-0.503055574203679
15	103	-1.0	-0.494036742875081
15	94	-3.0	-0.586797928482586
15	69	-14.0	-0.547378417427332
55	23	-2.0	-0.534946318658904
55	38	-2.0	-0.5926127184762
55	40	-3.0	-0.58800332280763
56	17	-8.0	-0.5585093740364
56	18	-3.0	-0.537179122189432
56	19	-1.0	-0.545525734297058
56	25	-5.0	-0.495343767317027
56	28	-5.0	-0.540958539584263
56	29	-29.0	-0.576271761794022
56	31	-7.0	-0.489650113400856
56	33	-1.0	-0.531837722668108
56	34	-8.0	-0.525716285793277
56	35	-3.0	-0.540091108519392
56	36	-21.0	-0.578148449128492
56	41	-2.0	-0.532455352249209
56	42	-2.0	-0.562532630121261
56	43	-2.0	-0.580172756514651
16	58	-1.0	-0.468164264896727
16	60	-1.0	-0.553932524484815
16	61	-1.0	-0.539273077104827
16	64	-1.0	-0.578610020072628
16	65	-1.0	-0.453057372374364
16	66	-1.0	-0.59133598195269
16	70	-1.0	-0.512777241905809
17	86	-6.0	-0.560940053975156
17	59	-20.0	-0.463843039437483
17	107	-1.0	-0.459018158974417
17	62	-51.0	-0.546829264469285
17	97	-1.0	-0.468674486693558
17	99	-4.0	-0.458416838321539
17	63	-20.0	-0.507445498348085
17	75	-5.0	-0.510483119189928
17	88	-6.0	-0.519505257776463
17	65	-85.0	-0.59722730633379
17	89	-4.0	-0.598544598298551
17	100	-1.0	-0.588093435502961
17	67	-18.0	-0.492570163001423
17	90	-7.0	-0.447494552488104
