nearestTranscript	Occurance
uc001xrq.3	1
uc003cwf.1	1
uc001rac.3	1
uc001bnf.3	1
uc003wmm.3	1
uc001gog.3	1
uc001ybc.4	1
uc002die.2	1
uc002ask.2	1
uc002agv.3	1
uc001gws.3	1
uc011kxx.1	1
uc003gto.3	1
uc010nzv.1	1
uc002vrs.3	1
uc011kiq.2	1
uc003naw.3	1
uc003fbc.3	1
uc002vrc.3	1
uc003tzj.2	1
uc001znz.3	1
uc003zyr.1	1
uc002dlo.3	1
uc001sjq.3	1
uc003afe.1	1
uc002lrb.1	1
uc001nqv.1	1
uc003grg.3	1
uc001omy.1	1
uc002dwp.3	1
uc003leg.3	1
uc010tkf.2	1
uc002dwy.1	1
uc021psk.1	1
uc002mgw.3	1
uc002hus.3	1
uc009zjl.3	1
uc002asa.2	1
uc003ujr.1	1
uc002agt.4	1
uc002axo.4	1
uc002cnf.3	1
uc001jrc.2	1
uc010wgy.1	1
uc002rdw.1	1
uc002uqc.4	1
uc002fiw.3	1
uc003gdv.3	1
uc003fjw.3	1
uc002fms.3	1
uc010iwm.1	1
uc010ypx.2	1
uc003vqz.4	1
uc002tjb.3	1
uc002cru.3	1
uc002sbc.2	1
uc002nko.1	1
uc002szf.1	1
uc002mxi.4	1
uc002fre.2	1
uc001qel.3	1
uc002lql.3	1
uc001lkh.2	1
uc002nhx.1	1
uc003yow.4	1
uc001rxu.2	1
uc002rnd.3	1
uc004bsc.3	1
uc001jkm.4	1
uc001yqd.3	1
uc002lxo.3	1
uc002knl.3	1
uc001joz.3	1
uc002ehi.4	1
uc009yhy.1	1
uc002itp.4	1
uc002mjc.4	1
uc002dtm.4	1
uc001aqr.4	1
uc003qhw.1	1
uc003fhb.4	1
uc001hud.2	1
uc001xxo.4	1
uc002rru.2	1
uc003hqj.4	1
uc003upi.2	1
uc002mek.3	1
uc001fhh.3	1
uc031ren.1	1
uc010icn.2	1
uc003ken.4	1
uc001hia.4	1
uc010pot.1	1
uc002hbj.3	1
uc001mmd.3	1
uc001aoc.3	1
uc001iob.3	1
uc022baf.1	1
uc021tcg.2	1
uc001nbs.4	1
uc003tlq.3	1
uc002koj.3	1
uc003vry.3	1
uc010heb.3	1
uc010bbi.3	1
uc010xlj.1	1
uc002cpm.3	1
uc010vmz.1	1
uc001kdl.1	1
uc002hcq.1	1
uc003vdt.3	1
uc003axt.3	1
uc001cik.2	1
uc003xrr.2	1
uc002fdu.3	1
uc010icc.3	1
uc002kdy.3	1
uc002rxs.1	1
uc021vqz.1	1
uc009zoo.3	1
uc002grj.3	1
uc010ozr.1	1
uc002rhp.1	1
uc003tph.3	1
uc003mhz.3	1
uc001gnr.1	1
uc001bkm.2	1
uc011ldf.2	1
uc003ctz.2	1
uc002qzn.1	1
uc001aub.3	1
uc002pbn.3	1
uc002rey.2	1
uc001rpq.3	1
uc002chd.3	1
uc001nxg.1	1
uc002lhf.3	1
uc011llk.1	1
uc001iil.4	1
uc010lvh.1	1
uc002lqb.3	1
uc001mqb.3	1
uc021tdr.1	1
uc001sec.3	1
uc010hia.1	1
uc002guy.3	1
uc011khn.2	1
uc001qod.3	1
uc002jsa.2	1
uc003ilm.4	1
uc003nhz.3	1
uc002vle.2	1
uc001pmn.3	1
uc003iaa.3	1
uc002jxj.4	1
uc003sus.4	1
uc010ive.1	1
uc003dnu.2	1
uc002vqj.3	1
uc001jbf.4	1
uc010ovc.2	1
uc002sly.3	1
uc001hxy.2	1
uc003vwk.3	1
uc001sdx.3	1
uc002ewx.1	1
uc021qsv.1	1
uc002fcl.3	1
uc001gxg.4	1
uc002rhw.3	1
uc003qax.3	1
uc002rbe.4	1
uc003jwq.3	1
uc010pvo.2	1
uc001lfd.1	1
uc002taf.3	1
uc010ooq.2	1
uc002ckq.3	1
uc010seu.2	1
uc011blc.2	1
uc003jbg.4	1
uc001grb.1	1
uc002rnm.3	1
uc002cqm.3	1
uc010hih.3	1
uc002wzb.1	1
uc031qou.1	1
uc002vtr.1	1
uc001hgc.3	1
uc002gby.1	1
uc001cca.1	1
uc010bsw.2	1
uc001mwq.2	1
uc001cio.3	1
uc001kqh.2	1
uc001kho.3	1
uc002pyp.3	1
uc003brn.4	1
uc003epn.1	1
uc002lzj.3	1
uc001imy.1	1
uc003iib.2	1
uc003jlh.2	1
uc021xab.1	1
uc010rcb.1	1
uc003fpb.1	1
uc010sls.2	1
uc001ger.3	1
uc003els.3	1
uc002ivb.3	1
uc009xhk.1	1
uc002hst.3	1
uc001edg.2	1
uc003uab.3	1
uc002dsp.3	1
uc001nfb.1	1
uc001ijx.1	1
uc002vpi.3	1
uc010bvn.3	1
uc001kag.2	1
uc003ofa.2	1
uc021tls.1	1
uc021trf.1	1
uc002dzs.1	1
uc010qrd.1	1
uc021qdz.1	1
uc001crr.2	1
uc001aiq.3	1
uc021zcq.1	1
uc001ave.3	1
uc010kyp.1	1
uc001koj.4	1
uc031qlj.1	1
uc010qlr.2	1
uc001mya.3	1
uc031tcc.1	1
uc003lqg.4	1
uc001qjj.3	1
uc002jwf.3	1
uc001xjt.3	1
uc003prc.3	1
uc001fno.3	1
uc010dlw.3	1
uc003dla.4	1
uc003gfd.3	1
uc003quw.1	1
uc021ufa.1	1
uc021rfs.1	1
uc001cso.1	1
uc003azu.3	1
uc010dsy.1	1
uc009zmg.3	1
uc003lzt.4	1
uc002baw.3	1
uc001atd.1	1
uc003alm.4	1
uc021qfb.1	1
uc001vyr.3	1
uc002blx.2	1
uc003oon.3	1
uc010cca.1	1
uc021pan.2	1
uc002cku.3	1
uc003skr.3	1
uc003dnm.1	1
uc002jqy.2	1
uc001zvk.3	1
uc001wxl.3	1
uc010fvg.3	1
uc001owm.2	1
uc010far.3	1
uc002aff.1	1
