gene	pubmed_count	Synonyms	Symbol_from_nomenclature_authority
ARHGDIA	149	GDIA1|HEL-S-47e|NPHS8|RHOGDI|RHOGDI-1	ARHGDIA
ARHGDIB	146	D4|GDIA2|GDID4|LYGDI|Ly-GDI|RAP1GN1|RhoGDI2	ARHGDIB
ARHGDIG	12	RHOGDI-3	ARHGDIG
RHOH	162	ARHH|TTF	RHOH
ARL1	152	ARFL1	ARL1
PHOX2A	206	ARIX|CFEOM2|FEOM2|NCAM2|PMX2A	PHOX2A
ARL2	140	ARFL2|MRCS1	ARL2
ARL3	151	ARFL3|JBTS35|RP83	ARL3
ARNT	2711	ARNT1|HIF-1-beta|HIF-1beta|HIF1-beta|HIF1B|HIF1BETA|TANGO|bHLHe2	ARNT
BMAL1	2717	ARNTL|ARNTL1|BMAL1c|JAP3|MOP3|PASD3|TIC|bHLHe5	BMAL1
ARR3	122	ARRX|MYP26|cArr	ARR3
ARRB1	438	ARB1|ARR1	ARRB1
ARRB2	631	ARB2|ARR2|BARR2	ARRB2
ARSA	959	ASA|MLD	ARSA
ARSB	983	ASB|G4S|MPS6	ARSB
STS	18732	ARSC|ARSC1|ASC|ES|SSDD|XLI	STS
ARSD	150	ASD	ARSD
ARSL	44	ARSE|ASE|CDPX|CDPX1|CDPXR	ARSL
ARSF	11	ASF	ARSF
ART1	199	ART2|ARTC1|CD296|RT6	ART1
ART3	48	ARTC3	ART3
ART4	69	ARTC4|CD297|DO|DO/ART4|DOK1	ART4
ARVCF	92	-	ARVCF
ASAH1	274	AC|ACDase|ASAH|PHP|PHP32|SMAPME	ASAH1
ASCL1	1235	ASH1|HASH1|MASH1|bHLHa46	ASCL1
ASCL2	246	ASH2|HASH2|MASH2|bHLHa45	ASCL2
ASGR1	110	ASGPR|ASGPR1|CLEC4H1|HL-1	ASGR1
ASGR2	22	ASGP-R2|ASGPR2|CLEC4H2|HBXBP|HL-2	ASGR2
ASIP	467	AGSW|AGTI|AGTIL|ASP|SHEP9	ASIP
ASL	15817	ASAL	ASL
ASMT	228	ASMTY|HIOMT|HIOMTY	ASMT
GET3	113	ARSA-I|ARSA1|ASNA-I|ASNA1|CMD2H|TRC40	GET3
ASNS	368	ASNSD|TS11	ASNS
ASPA	651	ACY2|ASP	ASPA
ASPH	364	AAH|BAH|CASQ2BP1|FDLAB|HAAH|JCTN|junctin	ASPH
ASS1	392	ASS|CTLN1	ASS1
ASTN1	53	ASTN	ASTN1
SERPINC1	302	AT3|AT3D|ATIII|ATIII-R2|ATIII-T1|ATIII-T2|THPH7	SERPINC1
ZFHX3	227	ATBF1|ATBT|C16orf47|ZFH-3|ZNF927	ZFHX3
ATF1	1045	EWS-ATF1|FUS/ATF-1|TREB36	ATF1
ATF3	2116	-	ATF3
ATF4	3825	CREB-2|CREB2|TAXREB67|TXREB	ATF4
ATIC	350	AICAR|AICARFT|HEL-S-70p|IMPCHASE|PURH	ATIC
ATM	29457	AT1|ATA|ATC|ATD|ATDC|ATE|TEL1|TELO1	ATM
RERE	226	ARG|ARP|ATN1L|DNB1|NEDBEH	RERE
ATOH1	746	ATH1|DFNA89|HATH1|MATH-1|bHLHa14	ATOH1
ATOX1	334	ATX1|HAH1	ATOX1
ATP1A1	557	CMT2DD|HOMGSMR2	ATP1A1
ATP1A2	467	DEE98|FARIMPD|FHM2|MHP2	ATP1A2
